Category,Platform,Description,Industry,URL
AI 3D Generation,Meshy AI,Web-based AI generator producing 3D models from text and images,Content Creation,https://meshy.ai
AI 3D Generation,Luma AI,AI photogrammetry & NeRF platform for capturing photoreal 3D environments,Content Creation,https://lumalabs.ai
AI 3D Generation,Sloyd,Procedural AI platform that generates 3D assets and models,Game Design/VR,https://www.sloyd.ai
AI 3D Generation,Kaedim,Converts 2D concept art into 3D models for games and media,Gaming,https://kaedim3d.com
AI 3D Generation,Masterpiece Studio,Collaborative VR/PC modeling tool with AI enhancements,Creative Design,https://masterpiecestudio.com
AI 3D Generation,Tripo AI,Fast AI 3D model generator (text-to-model) with real-time speed,Prototyping,https://www.tripo3d.ai
AI 3D Generation,3DFY.ai,Automated AI platform for generating and optimizing 3D assets,Enterprise,https://3dfy.ai
AI 3D Generation,Scenario (vibe3D),Cloud AI service generating 3D assets and scenes,Game Design,https://scenario.com
AI 3D Generation,LeiaPix,Transforms 2D images into 3D depth-processed photos,Media/Print,https://convert.leiapix.com
AI 3D Generation,Ponzu AI,Generative AI for texture maps and material creation,Design/Architecture,https://ponzu.ai
AI 3D Generation,Spaitial,AI-driven platform creating 3D virtual environments from text,Entertainment,https://www.spaitial.ai
AI 3D Generation,Odyssey Systems,AI-powered tool converting text to full 3D scenes,Research & Entertainment,https://odyssey.systems
AI 3D Generation,Decart AI,Generative AI creating open-world game environments,Game Development,https://www.decart.ai
AI 3D Generation,World Engine,Text-to-3D environment generator (AI research startup),Entertainment,https://worldlabs.io
AI 3D Generation,3D-Agent,Blender AI plugin that creates production-quality 3D models,Design/Animation,https://3d-agent.com
AI 3D Generation,Rodin AI (Hyper3D),High-fidelity text-to-3D model generator (excellent topology),Animation/CG,https://hyper3d.ai
AI 3D Generation,ARitize3D (Nextech),AI 3D product model generation for e-commerce,Retail/Ecommerce,https://nextechar.com
AI 3D Generation,Kinetix AI,AI platform converting 2D videos into 3D character animations,Media,https://www.kinetix.tech
AI 3D Generation,Poly.cam,Mobile app combining photogrammetry & AI cleanup for 3D scans,Spatial Capture,https://poly.cam
AI 3D Generation,Luma Genie,Text-to-3D model generator by Luma AI (called “Genie”),Content Creation,https://lumalabs.ai/genie

Immersive Commerce,Obsess,Platform for creating immersive 3D/VR retail stores,Retail/Brand,https://obsessvr.com
Immersive Commerce,Emperia,Virtual shopping experiences for luxury and fashion brands,Fashion Retail,https://emperia.io
Immersive Commerce,ByondXR,3D shopping and virtual product showcase platform,Ecommerce,https://byondxr.com
Immersive Commerce,Journee,Creates branded 3D worlds and immersive experiences,Ecommerce,https://journee.ai
Immersive Commerce,VNTANA,3D asset management and AR commerce solutions,Ecommerce,https://www.vntana.com
Immersive Commerce,Threekit,3D/AR product configurators for e-commerce,Retail,https://www.threekit.com
Immersive Commerce,Zakeke,Live 3D/AR product customization and configurators,Ecommerce,https://www.zakeke.com
Immersive Commerce,Cylindo,3D product visualization platform (focus: furniture),Retail,https://www.cylindo.com
Immersive Commerce,Augment,Nextech AR tool for 3D product visualization,Retail,https://www.augment.com
Immersive Commerce,Sayduck,AR/3D preview platform for online retail,Retail,https://sayduck.com
Immersive Commerce,Expivi,3D product configurator and customization for online sales,Ecommerce,https://www.expivi.com
Immersive Commerce,Vertebrae,AR commerce platform for interactive shopping,Retail,https://vertebrae.com
Immersive Commerce,Poplar Studio,AR marketing & commerce solutions for brands,Marketing,https://poplar.studio
Immersive Commerce,VusionGroup,Virtual store and retail visualization solutions,Retail,https://www.vusion.com
Immersive Commerce,InContext Solutions,Virtual store simulation (ShopperMX) for CPG,Retail,https://incontextsolutions.com
Immersive Commerce,ReadySet VR,VR-based retail planning and shopper research,Retail/CPG,https://readysetvr.com
Immersive Commerce,Banuba,AI/AR avatar and virtual try-on solutions,Retail/Fashion,https://banuba.com
Immersive Commerce,ShopX,Platform for creating interactive 3D shopping experiences,Ecommerce,https://shopx.co
Immersive Commerce,Stageverse,Immersive virtual brand events and storefronts,Marketing,https://stageverse.com
Immersive Commerce,BrandLab,Creates interactive 3D marketing and product demos,Marketing,https://brandlab.ai
Immersive Commerce,VStore,Virtual storefront and retail experience builder,Retail,https://vstore.ai
Immersive Commerce,Nextech AR Solutions,AR/VR solutions including ARitize3D for retail,Retail/AR,https://nextechar.com

Spatial Computing Apps,Spline,Web-based 3D design and prototyping tool,Design,https://spline.design
Spatial Computing Apps,Vectary,Browser 3D modeling and AR creation platform,Product Design,https://www.vectary.com
Spatial Computing Apps,CoSpaces Edu,Educational platform to build VR/AR scenes,Education,https://cospaces.io
Spatial Computing Apps,ShapesXR,Collaborative VR design and prototyping tool,Design/VR,https://www.shapesxr.com
Spatial Computing Apps,Arkio,Collaborative architectural and spatial design app,Architecture,https://www.arkio.is
Spatial Computing Apps,Gravity Sketch,VR 3D creation tool for product and transport design,Design,https://www.gravitysketch.com
